Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Total Time
59,PIT,2017-11-26,341,4,121,0,3,227,80,33:36,Sun,11,12,,GNB,W 31-28,33,45,12,73.3,4,2,8.9,4.4,106.8,1,10,2.17,7.6,7.41,7.36,7.2,10.3,24,3.3,1,17,26,65.4,3,4,18,0,131.4,24,462,70,6.6,54,5.69,3,3:04
60,PIT,2017-12-04,282,2,92,0,1,223,130,29:49,Mon,12,13,@,CIN,W 23-20,24,40,16,60.0,2,1,5.0,2.5,88.5,1,8,2.44,7.1,6.88,6.93,6.76,11.8,22,5.9,0,21,36,58.3,2,2,11,0,95.0,22,374,63,5.94,60,5.88,1,3:25
61,PIT,2017-12-10,486,2,59,2,0,261,152,33:50,Sun,13,14,,BAL,W 39-38,44,66,22,66.7,2,0,3.0,0.0,99.7,3,20,4.35,7.4,7.04,7.97,7.62,11.0,26,5.8,3,20,35,57.1,2,1,8,1,87.9,16,545,85,6.41,62,6.66,0,3:29
62,PIT,2017-12-17,270,2,143,1,1,283,77,35:07,Sun,14,15,,NWE,L 24-27,22,30,8,73.3,2,1,6.7,3.3,110.6,2,11,6.25,9.0,8.44,8.83,8.28,12.3,19,4.1,2,22,35,62.9,1,2,15,1,85.8,31,413,63,6.56,56,6.43,1,2:54
63,PIT,2017-12-25,226,2,104,2,0,51,176,30:56,Mon,15,16,@,HOU,W 34-6,20,30,10,66.7,2,0,6.7,0.0,111.2,0,0,0.0,7.5,7.53,8.87,8.87,11.3,28,6.3,0,8,17,47.1,1,7,42,1,48.9,28,330,58,5.69,52,4.37,0,2:56
64,PIT,2017-12-31,224,1,124,2,2,272,102,29:05,Sun,16,17,,CLE,W 28-24,23,27,4,85.2,1,1,3.7,3.7,100.5,3,15,10.0,8.3,7.47,7.37,6.63,9.7,27,3.8,1,16,30,53.3,2,6,42,1,92.6,28,348,58,6.0,63,5.94,2,3:05
65,PIT,2018-09-09,313,1,159,2,6,150,177,35:12,Sun,1,1,@,CLE,T 21-21 (OT),23,41,18,56.1,1,3,2.4,7.3,60.5,4,22,8.89,7.6,6.96,4.83,4.4,13.6,38,4.7,2,15,40,37.5,1,7,47,1,46.9,35,472,80,5.9,85,3.85,6,3:54
66,PIT,2018-09-16,442,3,33,2,0,322,127,32:11,Sun,2,2,,KAN,L 37-42,39,60,21,65.0,3,0,5.0,0.0,104.3,1,10,1.64,7.4,7.25,8.37,8.23,11.3,25,5.1,0,23,28,82.1,6,1,4,0,154.2,13,475,74,6.42,54,8.31,0,3:23
67,PIT,2018-09-24,335,3,78,0,1,392,63,30:21,Mon,3,3,@,TAM,W 30-27,30,38,8,78.9,3,1,7.9,2.6,120.7,3,18,7.32,8.8,8.17,9.21,8.54,11.2,16,3.9,0,30,50,60.0,3,3,19,3,79.7,22,413,63,6.56,69,6.59,1,3:19
68,PIT,2018-09-30,265,1,19,0,2,355,96,24:57,Sun,4,4,,BAL,L 14-26,27,47,20,57.4,1,1,2.1,2.1,72.5,1,9,2.08,5.6,5.52,5.11,5.0,9.8,30,3.2,0,28,42,66.7,2,2,8,0,108.7,11,284,59,4.81,74,6.09,2,3:08
